,program,start_time,start_dt_object,end_time,end_dt_object,play_time,artist,artist_url,track,album,album_url,label,label_url,type
0,Dangerous Curves,Mon Jan 14 2019 2:00pm,2019-01-14 14:00:00,Mon Jan 14 2019 4:00pm,2019-01-14 16:00:00,2:07pm,Rosalia,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=152691#here,“Malamente”,Malamente - Single,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=445279#here,(Sony Entertainment Espana 2018),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=84072#here,N 
0,Soul Selector,Mon Jan 21 2019 4:00pm,2019-01-21 16:00:00,Mon Jan 21 2019 7:00pm,2019-01-21 19:00:00,4:04pm,Pops Staples,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=80041#here,“Why Am I Treated So Bad”,Father Father,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=73840#here,(Pointblank unk 1994),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=254#here,
0,Soul Selector,Mon Jan 21 2019 4:00pm,2019-01-21 16:00:00,Mon Jan 21 2019 7:00pm,2019-01-21 19:00:00,4:11pm,Jackie Payne,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=56687#here,“I Saw The Blues”,I Saw the Blues,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=196156#here,(Blue Dot Records 2015),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=25494#here,
0,Soul Selector,Mon Jan 21 2019 4:00pm,2019-01-21 16:00:00,Mon Jan 21 2019 7:00pm,2019-01-21 19:00:00,4:15pm,Earl King,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=1221#here,“The Things That I Used to Do”,Come On: The Complete Imperial Recordings,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=42295#here,(EMI 1962),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=24#here,
0,Music at Work,Mon Jan 21 2019 7:00pm,2019-01-21 19:00:00,Mon Jan 21 2019 9:00pm,2019-01-21 21:00:00,7:02pm,Patrick Sweany,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=19267#here,“Every Night Every Day”,Close To the Floor,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=129297#here,(Nine Mile Records 2013),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=3251#here,
0,Music at Work,Mon Jan 21 2019 7:00pm,2019-01-21 19:00:00,Mon Jan 21 2019 9:00pm,2019-01-21 21:00:00,7:08pm,Patrick Sweany,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=19267#here,“Every Gun”,Close To the Floor,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=129297#here,(Nine Mile Records 2013),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=3251#here,
0,Music at Work,Mon Jan 21 2019 7:00pm,2019-01-21 19:00:00,Mon Jan 21 2019 9:00pm,2019-01-21 21:00:00,7:12pm,Beau Weevils,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=157122#here,“Bad Blood”,Songs in the Key of E,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=446523#here,(Blue Hat 2019),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=35628#here,N 
0,Music at Work,Mon Jan 14 2019 7:00pm,2019-01-14 19:00:00,Mon Jan 14 2019 9:00pm,2019-01-14 21:00:00,7:01pm,Led Zeppelin,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=253#here,“I Can't Quit You Baby”,Led Zeppelin (Remastered),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=63530#here,(Atlantic Records 1969),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=891#here,
0,Music at Work,Mon Jan 14 2019 7:00pm,2019-01-14 19:00:00,Mon Jan 14 2019 9:00pm,2019-01-14 21:00:00,7:06pm,Joe Bonamassa,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=1991#here,“Woke Up Dreaming (Live)”,Live From Nowhere In Particular,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=142758#here,(JR Adventures www.joebonamassa.com 2008),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=29956#here,
0,Music at Work,Mon Jan 14 2019 7:00pm,2019-01-14 19:00:00,Mon Jan 14 2019 9:00pm,2019-01-14 21:00:00,7:14pm,Lisa LeBlanc,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=68600#here,“You Look Like Trouble (But I Guess I Do Too)”,"Highways, Heartaches and Time Well Wasted",https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=445315#here,(bonsound www.bonsound.com 2014),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=22490#here,
